67,26,26,18,26,26,26,22,0,19,26,26,26,18,26,26,70
21,0,0,21,0,0,0,21,0,21,0,0,0,21,0,0,21
17,26,26,16,26,18,26,24,26,24,26,18,26,16,26,26,20
25,26,26,20,0,25,26,22,0,19,26,28,0,17,26,26,28
0,0,0,21,0,0,0,21,0,21,0,0,0,21,0,0,0
0,0,0,21,0,19,26,24,26,24,26,22,0,21,0,0,0
26,26,26,16,26,20,0,0,0,0,0,17,26,16,26,26,26
0,0,0,21,0,17,26,26,26,26,26,20,0,21,0,0,0
0,0,0,21,0,21,0,0,0,0,0,21,0,21,0,0,0
19,26,26,16,26,24,26,22,0,19,26,24,26,16,26,26,22
21,0,0,21,0,0,0,21,0,21,0,0,0,21,0,0,21
25,22,0,21,0,0,0,17,2,20,0,0,0,21,0,19,28
0,21,0,17,26,26,18,24,24,24,18,26,26,20,0,21,0
19,24,26,28,0,0,25,18,26,18,28,0,0,25,26,24,22
21,0,0,0,0,0,0,21,0,21,0,0,0,0,0,0,21
73,26,26,26,26,26,26,24,26,24,26,26,26,26,26,26,76
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
